id,category,query,expected_route,actual_route,actual_intent,status_code,result,latency_seconds,response_chars,source_count,matched_keywords,matched_keyword_count,expected_keyword_count,reference_source,notes,llm_provider,llm_model,error,response_preview
11,overview,ตอนนี้ภาควิชาเปิดสอนกี่หลักสูตร,rag,answer,domain_question,200,PASS,9.014,2269,5,5 หลักสูตร,1,1,faculty_department_overview.md,ทดสอบข้อมูลภาพรวม,openai,gpt-4.1,,ปัจจุบัน ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร เปิดสอนทั้งหมด 5 หลักสูตร โดยมีรายละเอียดดังนี้ ### หลักสูตรที่เปิดสอน 1. **หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร
12,ecs_program,หลักสูตร ECS ชื่อเต็มคืออะไร,rag,answer,domain_question,200,PASS,5.605,568,8,วิศวกรรมศาสตรบัณฑิต | วิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์,2,2,program_ecs.md,ทดสอบชื่อหลักสูตร,openai,gpt-4.1,,ชื่อเต็มของหลักสูตร ECS ในภาควิชาวิศวกรรมไฟฟ้า คือ - ภาษาไทย: หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ - ภาษาอังกฤษ: Bachelor of Engineering Program in Electronics and Computer System Engineering ชื่อปริญ
13,ecs_program,หลักสูตร ECS ฉบับปรับปรุงล่าสุดปีอะไร,rag,answer,domain_question,200,PASS,5.674,366,1,,0,1,program_ecs.md,ทดสอบปีหลักสูตร,openai,gpt-4.1,,น้องไฟฟ้าขอแจ้งว่า ไม่พบข้อมูลปีที่ประกาศใช้ของหลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) ฉบับปรับปรุงล่าสุด ในแหล่งข้อมูลทางการที่มีอยู่ขณะนี้ค่ะ แนะนำให้ติดต่อภาควิชาโดยตรงเพื่อสอบถามข้อมูลล่าสุดได้ที่ โทรศัพท์ 034-219364-66 ต
14,ecs_program,หลักสูตร ECS ปกติต้องเรียนกี่หน่วยกิต,rag,answer,domain_question,200,PASS,6.028,649,8,147 หน่วยกิต,1,1,program_ecs.md,ทดสอบจำนวนหน่วยกิตรวม,openai,gpt-4.1,,"หลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) ภาคปกติ ต้องเรียนและสอบได้หน่วยกิตสะสมตลอดหลักสูตร ""ไม่น้อยกว่า 147 หน่วยกิต"" จึงจะสำเร็จการศึกษา - หน่วยกิตรวมตลอดหลักสูตร: ไม่น้อยกว่า 147 หน่วยกิต แหล่งอ้างอิง: [หลักสูตรวิศวกรรมศาสต"
15,ecs_program,หลักสูตร ECS ใช้เวลาเรียนกี่ปี,rag,answer,domain_question,200,PASS,6.334,600,8,4 ปีการศึกษา | ไม่เกิน 8 ปีการศึกษา,2,2,program_ecs.md,ทดสอบระยะเวลาศึกษา,openai,gpt-4.1,,หลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) ใช้ระยะเวลาเรียนตามหลักสูตรดังนี้ - ระยะเวลาการศึกษาตามหลักสูตร: 4 ปีการศึกษา - สามารถเรียนได้นานสุดไม่เกิน 8 ปีการศึกษา แหล่งอ้างอิง: [หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็
16,ecs_program,หมวดวิชาศึกษาทั่วไปของ ECS ต้องเรียนอย่างน้อยกี่หน่วยกิต,rag,answer,domain_question,200,PASS,6.046,422,8,30 หน่วยกิต,1,1,program_ecs.md,ทดสอบโครงสร้างหลักสูตร,openai,gpt-4.1,,หมวดวิชาศึกษาทั่วไปของหลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) ต้องเรียนอย่างน้อย 30 หน่วยกิต - หมวดวิชาศึกษาทั่วไป: ไม่น้อยกว่า 30 หน่วยกิต อ้างอิงจากโครงสร้างหลักสูตรในเว็บไซต์ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร แหล่งอ้า
17,ecs_program,กลุ่มวิชาบังคับของ ECS แบบสหกิจมีกี่หน่วยกิต,rag,answer,domain_question,200,PASS,6.079,386,8,68 หน่วยกิต,1,1,program_ecs.md,ทดสอบโครงสร้างหลักสูตรสหกิจ,openai,gpt-4.1,,กลุ่มวิชาบังคับของหลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) แผนสหกิจศึกษา มีจำนวน 68 หน่วยกิต - กลุ่มวิชาบังคับ (แผนสหกิจศึกษา): 68 หน่วยกิต แหล่งอ้างอิง: หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเ
18,ecs_program,หลักสูตร ECS มี PLO เรื่องการออกแบบโปรแกรมคอมพิวเตอร์ไหม,rag,answer,domain_question,200,PASS,5.838,478,8,PLO13 | ออกแบบและพัฒนาโปรแกรมคอมพิวเตอร์,2,2,program_ecs.md,ทดสอบผลลัพธ์การเรียนรู้,openai,gpt-4.1,,หลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) มีผลลัพธ์การเรียนรู้ของหลักสูตร (Program Learning Outcomes: PLO) ที่เกี่ยวข้องกับการออกแบบโปรแกรมคอมพิวเตอร์โดยตรง คือ - **PLO13:** ออกแบบและพัฒนาโปรแกรมคอมพิวเตอร์สำหรับวิศวกรรมอิเล็กท
19,ecs_program,หลักสูตร ECS มี PLO เกี่ยวกับระบบควบคุมอัตโนมัติไหม,rag,answer,domain_question,200,PASS,6.696,718,8,PLO14 | ออกแบบและพัฒนาระบบควบคุมอัตโนมัติ,2,2,program_ecs.md,ทดสอบ PLO เฉพาะด้าน,openai,gpt-4.1,,หลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) มีผลลัพธ์การเรียนรู้ของหลักสูตร (PLO) ที่เกี่ยวข้องกับระบบควบคุมอัตโนมัติ ดังนี้ - **PLO14:** ออกแบบและพัฒนาระบบควบคุมอัตโนมัติได้ โดย PLO14 นี้เชื่อมโยงกับรายวิชาต่าง ๆ เช่น - 618 224 
20,ecs_program,หลักสูตร ECS เน้นเรื่องระบบอิเล็กทรอนิกส์ฝังตัวหรือไม่,rag,answer,domain_question,200,PASS,7.901,1371,8,PLO15 | ระบบอิเล็กทรอนิกส์ฝังตัว,2,2,program_ecs.md,ทดสอบ PLO เฉพาะด้าน,openai,gpt-4.1,,หลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) ของภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร **มีการเน้นเนื้อหาเกี่ยวกับระบบอิเล็กทรอนิกส์ฝังตัว (Embedded Systems)** อย่างชัดเจน ดังนี้ - ผลลัพธ์การเรียนรู้ที่คาดหวังของหลักสูตร (Program
21,ecom_program,หลักสูตรวิศวกรรมไฟฟ้าสื่อสารชื่อเต็มคืออะไร,rag,answer,domain_question,200,PASS,6.909,598,8,วิศวกรรมศาสตรบัณฑิต | วิศวกรรมไฟฟ้าสื่อสาร,2,2,program_electrical_communications.md,ทดสอบชื่อหลักสูตร,openai,gpt-4.1,,ชื่อเต็มของหลักสูตรวิศวกรรมไฟฟ้าสื่อสาร มีดังนี้ค่ะ - **ภาษาไทย:** หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าสื่อสาร (หลักสูตรใหม่ พ.ศ. 2565) - **ภาษาอังกฤษ:** (ในข้อมูลที่มี ไม่ได้ระบุชื่อหลักสูตรภาษาอังกฤษไว้อย่างชัดเจน) หากต้องการ
22,ecom_program,หลักสูตรไฟฟ้าสื่อสารเป็นหลักสูตรปีอะไร,rag,answer,domain_question,200,PASS,9.403,1931,8,2565,1,1,program_electrical_communications.md,ทดสอบปีหลักสูตร,openai,gpt-4.1,,"หลักสูตรวิศวกรรมไฟฟ้าสื่อสารเป็นหลักสูตรปีอะไร - หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าสื่อสาร ที่เปิดสอนในปัจจุบัน คือ ""หลักสูตรใหม่ พ.ศ. 2565"" รายละเอียดหลักสูตร (สรุป): - ชื่อหลักสูตร: หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวก"
23,ecom_program,หลักสูตรไฟฟ้าสื่อสารรวมกี่หน่วยกิต,rag,answer,domain_question,200,PASS,5.921,343,8,146 หน่วยกิต,1,1,program_electrical_communications.md,ทดสอบจำนวนหน่วยกิตรวม,openai,gpt-4.1,,หลักสูตรวิศวกรรมไฟฟ้าสื่อสาร คณะวิศวกรรมศาสตร์ มหาวิทยาลัยศิลปากร (หลักสูตรใหม่ พ.ศ. 2565) มีจำนวนหน่วยกิตตลอดหลักสูตร ไม่น้อยกว่า 146 หน่วยกิต แหล่งอ้างอิง: หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าสื่อสาร (ดูรายละเอียดในไฟล์หลักสู
24,ecom_program,หลักสูตรไฟฟ้าสื่อสารแบบปกติมีกลุ่มวิชาพื้นฐานวิชาชีพกี่หน่วยกิต,rag,answer,domain_question,200,PASS,5.34,347,8,42 หน่วยกิต,1,1,program_electrical_communications.md,ทดสอบโครงสร้างหลักสูตร,openai,gpt-4.1,,หลักสูตรวิศวกรรมไฟฟ้าสื่อสาร (แบบปกติ) มีกลุ่มวิชาพื้นฐานวิชาชีพ จำนวน **42 หน่วยกิต** อ้างอิงจากโครงสร้างหลักสูตรในเว็บไซต์ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร --- แหล่งอ้างอิง: [https://ee-eng.su.ac.th/Program.aspx?Course=ElectricalCom
25,ecom_program,หลักสูตรไฟฟ้าสื่อสารแบบสหกิจมีกลุ่มวิชาบังคับกี่หน่วยกิต,rag,answer,domain_question,200,PASS,8.162,693,8,62 หน่วยกิต,1,1,program_electrical_communications.md,ทดสอบโครงสร้างหลักสูตรสหกิจ,openai,gpt-4.1,,สำหรับหลักสูตรวิศวกรรมไฟฟ้าสื่อสารแบบสหกิจศึกษา **กลุ่มวิชาบังคับ** มีจำนวน **62 หน่วยกิต** ค่ะ - ข้อมูลนี้อ้างอิงจากโครงสร้างหลักสูตรในเอกสารหลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าสื่อสาร (หลักสูตรใหม่ พ.ศ. 2565) - ดูรายละเอียดเพ
26,ecom_program,หลักสูตรไฟฟ้าสื่อสารมี PLO เรื่องออกแบบและพัฒนาระบบไหม,rag,answer,domain_question,200,PASS,7.275,543,8,PLO14 | ออกแบบและพัฒนาระบบด้านวิศวกรรมไฟฟ้าสื่อสาร,2,2,program_electrical_communications.md,ทดสอบ PLO,openai,gpt-4.1,,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าสื่อสาร (หลักสูตรใหม่ พ.ศ. 2565) มีผลลัพธ์การเรียนรู้ของหลักสูตร (PLO) ที่เกี่ยวข้องกับการออกแบบและพัฒนาระบบโดยตรง ดังนี้ - **PLO14:** ออกแบบและพัฒนาระบบด้านวิศวกรรมไฟฟ้าสื่อสารโดยเลือกใช้เทค
27,master_program,หลักสูตรปริญญาโทของภาควิชาคือสาขาอะไร,rag,answer,domain_question,200,PASS,7.998,1403,8,วิศวกรรมศาสตรมหาบัณฑิต | วิศวกรรมไฟฟ้าและคอมพิวเตอร์,2,2,program_master_ece.md,ทดสอบชื่อหลักสูตรปริญญาโท,openai,gpt-4.1,,หลักสูตรปริญญาโทของภาควิชาวิศวกรรมไฟฟ้า **สาขาที่เปิดสอนและรายละเอียดหลักสูตร** - **ชื่อหลักสูตร:** หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าและคอมพิวเตอร์ (หลักสูตรปรับปรุง พ.ศ. 2565) - **สาขาที่เปิดสอน:** สาขาวิชาวิศวกรรมไฟฟ้าแ
28,master_program,หลักสูตรปริญญาโทฉบับปรับปรุงปีอะไร,rag,answer,domain_question,200,PASS,5.799,439,8,2565,1,1,program_master_ece.md,ทดสอบปีหลักสูตรปริญญาโท,openai,gpt-4.1,,"หลักสูตรปริญญาโทวิศวกรรมไฟฟ้าและคอมพิวเตอร์ (Electrical and Computer Engineering) ของภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร เป็น ""หลักสูตรปรับปรุง พ.ศ. 2565"" ซึ่งเป็นฉบับปรับปรุงล่าสุดที่เริ่มใช้ - ชื่อหลักสูตร: หลักสูตรวิศวกรรมศาสตรมหาบัณ"
29,master_program,หลักสูตรปริญญาโทใช้เวลากี่ปี,rag,answer,domain_question,200,PASS,5.763,334,8,2 ปีการศึกษา,1,1,program_master_ece.md,ทดสอบระยะเวลาศึกษา,openai,gpt-4.1,,หลักสูตรปริญญาโท (วิศวกรรมศาสตรมหาบัณฑิต สาขาวิศวกรรมไฟฟ้าและคอมพิวเตอร์) ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร ใช้ระยะเวลาการศึกษาตามหลักสูตร 2 ปีการศึกษา - ระยะเวลาการศึกษา: 2 ปีการศึกษา แหล่งอ้างอิง: [เว็บไซต์ภาควิชาวิศวกรรมไฟฟ้า มหาวิ
30,master_program,หลักสูตรปริญญาโทแบ่งเป็นกี่แผน,rag,answer,domain_question,200,PASS,7.832,1066,8,2 แผน | แผน ก แบบ ก 1 | แผน ก แบบ ก 2,3,3,program_master_ece.md,ทดสอบโครงสร้างแผนการเรียน,openai,gpt-4.1,,หลักสูตรปริญญาโท สาขาวิศวกรรมไฟฟ้าและคอมพิวเตอร์ ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร แบ่งแผนการศึกษาออกเป็น 2 แผน ดังนี้ - **แผน ก แบบ ก 1** (เน้นวิทยานิพนธ์) - วิชาบังคับ (ไม่นับหน่วยกิต): 4 หน่วยกิต - วิทยานิพนธ์: 36 หน่วยกิต - รวมหน่
31,master_program,แผน ก แบบ ก 1 ของปริญญาโทรวมกี่หน่วยกิต,rag,answer,domain_question,200,PASS,6.92,590,8,36 หน่วยกิต,1,1,program_master_ece.md,ทดสอบจำนวนหน่วยกิต,openai,gpt-4.1,,จำนวนหน่วยกิตที่ต้องเรียนในหลักสูตรปริญญาโท แผน ก แบบ ก 1 ของภาควิชาวิศวกรรมไฟฟ้า มีดังนี้ - วิทยานิพนธ์ (มีค่าเทียบเท่า): 36 หน่วยกิต - วิชาบังคับ (ไม่นับหน่วยกิต): 4 หน่วยกิต - รวมหน่วยกิตตลอดหลักสูตร: 36 หน่วยกิต **หมายเหตุ:** หากนักศึกษ
32,lecturer,หัวหน้าภาควิชาวิศวกรรมไฟฟ้าคือใคร,rag,answer,domain_question,200,PASS,6.544,594,8,โสภณ ผู้มีจรรยา | หัวหน้าภาควิชาวิศวกรรมไฟฟ้า,2,2,department_lecturers.md,ทดสอบตำแหน่งผู้บริหาร,openai,gpt-4.1,,หัวหน้าภาควิชาวิศวกรรมไฟฟ้า คือ - ชื่อ: ผู้ช่วยศาสตราจารย์ ดร. โสภณ ผู้มีจรรยา - ตำแหน่ง: หัวหน้าภาควิชาวิศวกรรมไฟฟ้า - อีเมล: phumeechanya_s@su.ac.th - ข้อมูลเพิ่มเติม: [รายละเอียดอาจารย์](https://ee-eng.su.ac.th/StaffDetail.aspx?PersonID=
33,lecturer,อีเมลอาจารย์โสภณคืออะไร,rag,answer,domain_question,200,PASS,6.629,199,8,phumeechanya_s@su.ac.th,1,1,department_lecturers.md,ทดสอบข้อมูลติดต่ออาจารย์,openai,gpt-4.1,,อีเมลติดต่ออาจารย์โสภณ ผู้มีจรรยา คือ **phumeechanya_s@su.ac.th** แหล่งอ้างอิง: [ภาควิชาวิศวกรรมไฟฟ้า ม.ศิลปากร - รายชื่ออาจารย์](https://ee-eng.su.ac.th/StaffDetail.aspx?PersonID=2&Type=Lecturer)
34,lecturer,ประธานหลักสูตร ECS คือใคร,rag,answer,domain_question,200,PASS,7.924,428,9,,0,2,department_lecturers.md,ทดสอบบทบาทอาจารย์,openai,gpt-4.1,,"ขออภัยค่ะ ในข้อมูลที่น้องไฟฟ้ามีอยู่ ยังไม่พบรายละเอียดชื่อและตำแหน่งของประธานหลักสูตรวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ECS) อย่างเป็นทางการ **แนะนำติดต่อสอบถามข้อมูลเพิ่มเติมได้ที่** - โทรศัพท์: 034-219364-66 ต่อ 25520, 089-979-791"
35,lecturer,ประธานหลักสูตรวิศวกรรมไฟฟ้าสื่อสารคือใคร,rag,answer,domain_question,200,PASS,8.678,534,13,ระพีพันธ์ แก้วอ่อน,1,2,department_lecturers.md,ทดสอบบทบาทอาจารย์,openai,gpt-4.1,,"ประธานหลักสูตรวิศวกรรมไฟฟ้าสื่อสาร - ชื่อผู้ดำรงตำแหน่ง: ผศ.ดร. ระพีพันธ์ แก้วอ่อน - อีเมลติดต่อ: kaewon_r@su.ac.th **ช่องทางติดต่อภาควิชาวิศวกรรมไฟฟ้า** - โทรศัพท์: 034-219364-66 ต่อ 25520, 089-979-7911 - โทรศัพท์/โทรสาร: 034-241971 - Face"
36,lecturer,ประธานหลักสูตรปริญญาโทวิศวกรรมไฟฟ้าและคอมพิวเตอร์คือใคร,rag,answer,domain_question,200,PASS,8.267,378,13,ยุทธนา เจวจินดา,1,1,department_lecturers.md,ทดสอบบทบาทอาจารย์,openai,gpt-4.1,,"ประธานหลักสูตรปริญญาโท สาขาวิศวกรรมไฟฟ้าและคอมพิวเตอร์ คือ - **ผศ.ดร. ยุทธนา เจวจินดา** - อีเมล: jewajinda_y@su.ac.th **ช่องทางติดต่อภาควิชา (เพิ่มเติม):** - โทรศัพท์: 089-979-7911, 034-241971 - Facebook: Department of Electrical Engineerin"
37,lecturer,อาจารย์ชูเกียรติ สอดศรีมีอีเมลอะไร,rag,answer,domain_question,200,PASS,7.078,538,8,sodsri_c@su.ac.th,1,1,department_lecturers.md,ทดสอบอีเมลอาจารย์,openai,gpt-4.1,,อีเมลติดต่อของรองศาสตราจารย์ ดร.ชูเกียรติ สอดศรี คือ - **Email:** sodsri_c@su.ac.th หากต้องการติดต่อเพิ่มเติม สามารถดูรายละเอียดที่เว็บไซต์ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร [คลิกที่นี่](https://ee-eng.su.ac.th/StaffDetail.aspx?PersonI
38,lecturer,อาจารย์ปาริฉัตร เสริมวุฒิสารใช้อีเมลอะไร,rag,answer,domain_question,200,PASS,5.781,238,8,sermwuthisarn_p@su.ac.th,1,1,department_lecturers.md,ทดสอบอีเมลอาจารย์,openai,gpt-4.1,,อีเมลติดต่ออาจารย์ ดร.ปาริฉัตร เสริมวุฒิสาร ภาควิชาวิศวกรรมไฟฟ้า คือ - sermwuthisarn_p@su.ac.th แหล่งอ้างอิง: [ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร - รายชื่ออาจารย์](https://ee-eng.su.ac.th/StaffDetail.aspx?PersonID=23&Type=Lecturer)
39,support_staff,เจ้าหน้าที่สายสนับสนุนมีใครบ้าง,rag,answer,domain_question,200,PASS,7.056,1666,8,ธชทัต | พยุงศักดิ์ | ฐนิชา | ผกามาศ | ณัฏฐ์นรี | กุลธิดา | จิรศักดิ์,7,7,department_support_staff.md,ทดสอบรายชื่อบุคลากร,openai,gpt-4.1,,เจ้าหน้าที่สายสนับสนุนของภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร มีดังนี้ค่ะ - นายธชทัต จวงสอน — นักวิชาการอุดมศึกษาปฏิบัติการ อีเมล: juangsorn_t@su.ac.th [รายละเอียดเพิ่มเติม](https://ee-eng.su.ac.th/StaffDetail.aspx?PersonID=10&Type=Offic
40,support_staff,นักการเงินปฏิบัติการของภาควิชาคือใคร,rag,answer,domain_question,200,PASS,5.905,565,8,ฐนิชา คล้ำชานา,1,1,department_support_staff.md,ทดสอบบทบาทสายสนับสนุน,openai,gpt-4.1,,นักการเงินปฏิบัติการของภาควิชาวิศวกรรมไฟฟ้า คือ - ชื่อ: นางสาวฐนิชา คล้ำชานา - ตำแหน่ง: นักการเงินปฏิบัติการ - อีเมล: klamchana_t@su.ac.th - ข้อมูลเพิ่มเติม: [รายละเอียดเจ้าหน้าที่](https://ee-eng.su.ac.th/StaffDetail.aspx?PersonID=12&Type=
